g,chi,H_At_mean,H_At_sem,f_hotA_2_mean,f_hotA_2_sem,f_hotA_3_mean,f_hotA_3_sem,At_q90_over_mean_mean,At_q90_over_mean_sem,At_q95_over_mean_mean,At_q95_over_mean_sem,At_q99_over_mean_mean,At_q99_over_mean_sem,Gini_At_mean,Gini_At_sem,Gini_M_mean,Gini_M_sem,AtM_corr_mean,AtM_corr_sem,M_mass_on_hotA10_mean,M_mass_on_hotA10_sem,deterrence_mean_mean,deterrence_mean_sem,deterrence_hotA_mean,deterrence_hotA_sem,Atilde_mean_mean,Atilde_mean_sem,n_criminals_mean,n_criminals_sem,crimes_that_day_mean,crimes_that_day_sem,home_exits_that_day_mean,home_exits_that_day_sem,inflow_that_day_mean,inflow_that_day_sem,frac_exit_crime_mean,frac_exit_crime_sem,frac_exit_home_mean,frac_exit_home_sem,crime_entropy_mean,crime_entropy_sem,mean_p_crime_mean,mean_p_crime_sem,mean_p_home_mean,mean_p_home_sem,n_seeds
0.0,0.0,1.3194546914685332,0.004357031554563316,0.10516061288339115,0.00047826798165549197,0.051132609049479125,0.00035654734633972597,2.063616469884496,0.005883251667960981,3.0349331995084254,0.010792799146361585,5.92254300842076,0.020669766262079857,0.4638653729660868,0.001751738163013287,0.1285591925196781,0.0012531344270524394,0.8882427120572064,0.0010808880909140774,0.15556539359664517,0.0005238080263288093,1.0,0.0,1.0,0.0,0.17732035402951787,0.000600753220413761,67.61592592592594,0.23793946109213682,28.035925925925927,0.14125483938338484,4.47,0.03992129234629652,32.52444444444445,0.12864531811084318,0.8612185198950267,0.001493241003290918,0.13878148010497326,0.0014932410032909267,2.587584008353856,0.0351544850455172,0.004169102332292386,2.2223332391692655e-05,0.000666444494152,0.0,15
0.3,9.8304,0.8563995076768103,0.0026505351295816226,0.09402379918981478,0.0005207836161313351,0.03586703830295135,0.0003153945120723677,1.941367996539017,0.005073193781879286,2.642442999779646,0.008420838018850983,4.413333938942026,0.014126285968008053,0.370240535307407,0.0011536871044625027,0.11931628013526875,0.0007263538416979539,0.827788501482418,0.0015109530668591252,0.1490507478281097,0.00035079900633930115,0.7427620404101702,1.9784408061813868e-05,0.6432199301879996,0.0006602479151181673,0.1220090706579287,0.0003323221890073896,107.25888888888889,0.3484967296912937,25.447407407407407,0.10474468085656868,7.155185185185186,0.04800691536833458,32.62962962962963,0.07853873155022012,0.7797867910695941,0.0016977985887700077,0.2202132089304058,0.001697798588770007,2.527734362590078,0.04701788244590691,0.00237886142655466,8.756260143793282e-06,0.000666444494152,0.0,15
0.5,16.384,0.6707638274257622,0.0019906113677907004,0.07480886953848374,0.00047353408815001995,0.021129873770254586,0.00021037880080909647,1.785367820719636,0.003858402214440187,2.3076430247953104,0.0061009243370642235,3.5888214627358037,0.008954391909526795,0.3054169458644218,0.0010004179861496985,0.10547658093619112,0.0007957514734913226,0.7805050520648769,0.0023436098444650703,0.14047108274450357,0.00035788723320792463,0.6098186204252857,4.191670501778439e-05,0.5005395552377493,0.0008466493574514235,0.09843815488723166,0.00038227243770138833,141.77962962962962,0.6496432491498554,23.30296296296296,0.12725319817288772,9.45185185185185,0.042113709998774125,32.76185185185185,0.13853273559725687,0.710371499236121,0.001545074783603682,0.28962850076387897,0.0015450747836036835,2.427717036511536,0.03461731298550394,0.0016522515143161268,7.342268983537147e-06,0.000666444494152,0.0,15
0.7,22.9376,0.5248795106788994,0.0016147034737294932,0.05084425184461801,0.00042587224340472014,0.010197460033275412,9.37996975139516e-05,1.616487891667134,0.003450611185739939,2.0092466688250252,0.004820573699079057,3.004115389818675,0.005804935919696641,0.24474142081521413,0.0009134861568906704,0.09062035933265657,0.0008490765771907019,0.7237295043247607,0.0016255752251078024,0.13213142281016613,0.00032560038529972805,0.5003979460129837,6.171377181452627e-05,0.4022992828087067,0.0008546097144734901,0.081250701071218,0.00024063097838831883,177.91777777777776,0.6321799113616465,21.092592592592595,0.11343685834367834,11.965555555555556,0.06743647259878525,33.01888888888889,0.08541801629251625,0.6373653224410272,0.002260243022446039,0.3626346775589727,0.0022602430224460397,2.289207872750127,0.03346262356990135,0.0011838835576347066,4.408191209547837e-06,0.000666444494152,0.0,15
0.85,27.8528,0.4400677488051448,0.0015379321532427727,0.03564814814814811,0.000317381650935526,0.005447478117766153,5.454628724218708e-05,1.5147593593539672,0.002892174999328909,1.8352879055502689,0.004104332848509281,2.6775316794868247,0.0054840314607120105,0.2070782213156198,0.0008413666091380795,0.08080850252296988,0.0008212244522583714,0.6841623943105628,0.0019143316206931397,0.12697839924856083,0.00022133279572618243,0.4312267316469167,6.173581917108657e-05,0.3454615148991992,0.0006011814149528006,0.07101371499889428,0.00018548485989556624,201.6862962962963,0.6735667752096121,19.27296296296296,0.10006738862053965,13.440740740740742,0.07593366846572572,32.76740740740741,0.11043160830875688,0.588955827545289,0.0020652352292562974,0.41104417245471114,0.002065235229256295,2.185722560574473,0.05908246949704182,0.00095079291067098,3.1861489715676685e-06,0.000666444494152,0.0,15
1.0,32.768,0.36747265839888243,0.0008940759321119484,0.023361929434317082,0.00015280744440189384,0.002756279839409673,2.4708044794344955e-05,1.4241445821447904,0.0016753861170210353,1.6839091450106958,0.002244287011248349,2.3999219216288665,0.003412786162021787,0.17364066230479916,0.0005441825665383449,0.07114100234252087,0.0006029955211950617,0.6443805887634315,0.0019050196120028037,0.12256436881948464,0.00014679265988015331,0.3714236215235527,4.9194131786237146e-05,0.29883367618722784,0.00040649169432461547,0.06361317874930714,0.0001590563691883819,226.13888888888889,0.772499284163372,17.90037037037037,0.10314921679269376,14.995185185185186,0.05059280175342344,32.89296296296296,0.09995805508711107,0.5437687405773226,0.0018591927045220414,0.45623125942267734,0.0018591927045220331,2.1990655155514043,0.04694422499259975,0.0007907471244233267,2.407804359145751e-06,0.000666444494152,0.0,15
1.2,39.3216,0.2944523461775175,0.0005616387532572175,0.013520372178819406,6.712586080511972e-05,0.00128137659143514,8.246057345222033e-06,1.3382027570820267,0.0012716709788482528,1.542476464509386,0.0017488727634658926,2.120529471695008,0.002098821051965163,0.13950082700639696,0.00040356001688182896,0.06344512807520095,0.00046545731084723344,0.6056971494885416,0.0026722640029275637,0.1188295904287139,0.00011961733723514748,0.30449364019626046,3.974743997877426e-05,0.24507603916349974,0.000326340734995534,0.05557887547401463,0.00014413620764233597,250.9662962962963,0.8526766423435056,16.086296296296297,0.11273530707414292,16.691851851851855,0.06758596039072105,32.78370370370371,0.10931950630222348,0.4908833891659269,0.002132962452045805,0.5091166108340731,0.002132962452045808,1.8770949473684555,0.054607694339296645,0.0006448095382376733,1.607680768166323e-06,0.000666444494152,0.0,15
1.5,49.152,0.21049224770508831,0.00033455482429385657,0.005242015697337927,1.9241651390874838e-05,0.00036137333622680666,3.926503672953207e-06,1.2404607993313508,0.0005261199139922388,1.385346573636252,0.0007854109077821546,1.8027943290162536,0.001087568622381518,0.09991802994538206,0.0002185958319772333,0.054179854271324365,0.0004538409118239017,0.557677015718698,0.002685425658138899,0.11523378009674197,6.583973066031362e-05,0.22594878695510237,3.718258485713346e-05,0.18159157306627371,0.0001644704954550283,0.04797558702874612,7.363919136768005e-05,276.9348148148148,1.2343808967716259,14.288148148148148,0.06898497026084079,18.49148148148148,0.11479714832508028,32.85037037037037,0.12565930379801374,0.4357228910643483,0.0018602288208526686,0.5642771089356517,0.0018602288208526608,2.036716157100948,0.048726920799182574,0.0005194024757563133,8.125312242834366e-07,0.000666444494152,0.0,15
2.0,65.536,0.12041664731756546,0.0002845452815968641,0.0005971272786457933,4.311140846862613e-06,3.3320674189814815e-05,1.3573321637784252e-06,1.1378872904842317,0.0004994168101909515,1.2218021604335612,0.000521529048684589,1.4591328728128492,0.0006645611332391152,0.05763224681774806,0.00018168832935695184,0.0459980278858445,0.000527803796433,0.49258756036020196,0.00463671184755626,0.11181318772314487,6.167859451403601e-05,0.13752863727202486,3.7591143418900175e-05,0.1098238634612432,0.0001481078272773891,0.041162329963931724,3.788680580626224e-05,300.71407407407406,1.4118731919860514,12.618518518518519,0.06844340226880126,19.953703703703702,0.08541434554710423,32.58185185185185,0.11669748480170332,0.3871664510599205,0.0015624402828096457,0.6128335489400795,0.001562440282809646,1.7378752374086446,0.06549764302374733,0.00042254575710662666,4.355502218301967e-07,0.000666444494152,0.0,15
3.0,98.304,0.03974153550527897,7.849815006940928e-05,9.268301504629631e-07,1.4220247690548523e-07,0.0,0.0,1.0468497215533152,0.0001201721274686708,1.0747176491472432,0.00014760890144379748,1.1480732968192957,0.00018621834591571126,0.019498062781096927,4.694221625816528e-05,0.040447365769620006,0.00032050798502261283,0.39430062512091973,0.0036797367675227817,0.10876802210691232,4.420882448154207e-05,0.051153194872007486,1.6564593727234196e-05,0.03983754272357983,6.7198467056407e-05,0.035887053498067714,1.3115396707280392e-05,320.0337037037037,1.3933140580199126,11.40111111111111,0.05193266567073592,21.36111111111111,0.08697002936776811,32.766666666666666,0.10679996080736108,0.3482933011596058,0.001141633414815225,0.6517066988403942,0.0011416334148152307,1.6865534186595428,0.058656880830668556,0.0003598338681195867,1.3758727018798575e-07,0.000666444494152,0.0,15
