g,chi,H_mean,H_sem,f_hot_2_mean,f_hot_2_sem,f_hot_3_mean,f_hot_3_sem,B_q90_over_mean_mean,B_q90_over_mean_sem,B_q95_over_mean_mean,B_q95_over_mean_sem,B_q99_over_mean_mean,B_q99_over_mean_sem,Gini_B_mean,Gini_B_sem,Gini_M_mean,Gini_M_sem,MB_corr_mean,MB_corr_sem,M_mass_on_hot10_mean,M_mass_on_hot10_sem,deterrence_mean_mean,deterrence_mean_sem,deterrence_hot_mean,deterrence_hot_sem,n_criminals_mean,n_criminals_sem,crimes_that_day_mean,crimes_that_day_sem,home_exits_that_day_mean,home_exits_that_day_sem,inflow_that_day_mean,inflow_that_day_sem,frac_exit_crime_mean,frac_exit_crime_sem,frac_exit_home_mean,frac_exit_home_sem,crime_entropy_mean,crime_entropy_sem,mean_p_crime_mean,mean_p_crime_sem,mean_p_home_mean,mean_p_home_sem,n_seeds
0.0,0.0,1.6080586355693613,0.011834972164767582,0.12226973168643901,0.0010058060700521856,0.06531142246576,0.0008570572948982541,2.3010866329098927,0.015037023476189921,3.4809579643830046,0.02516707570913895,6.980386520351141,0.055751740261668944,0.5667954447684828,0.0041887603806148605,0.1133167879468884,0.008347975714734147,0.8836142333575822,0.003615473656865683,0.1487399479521859,0.0037313779085283508,1.0,0.0,1.0,0.0,59.3391975308642,4.493345278720452,24.504012345679012,1.9196644804267642,3.9314814814814816,0.2941332401256696,28.446296296296296,2.214580588528498,0.858550092516626,0.0028530946007739645,0.141449907483374,0.0028530946007739623,2.3721199483992517,0.12476945760876966,0.004134443230123128,4.526666396217461e-05,0.000666444494152,0.0,18
0.3,9.8304,1.521108024263758,0.005466259436397851,0.12183514630353005,0.0005325549444541545,0.06282461660879625,0.0004147524564759164,2.280203595847659,0.007156435264339129,3.388187432080175,0.013716845758772073,6.623929636093456,0.0328223031893763,0.5507024117975684,0.0017409473743205202,0.11931628013526875,0.0007263538416979539,0.8812945299771143,0.000982307159980116,0.15012262433379361,0.0003567621803997121,0.7427620404101702,1.9784408061813868e-05,0.641325397739321,0.0006677491218798909,107.25888888888889,0.3484967296912937,25.447407407407407,0.10474468085656868,7.155185185185186,0.04800691536833458,32.62962962962963,0.07853873155022012,0.7797867910695941,0.0016977985887700077,0.2202132089304058,0.001697798588770007,2.527734362590078,0.04701788244590691,0.00237886142655466,8.756260143793282e-06,0.000666444494152,0.0,15
0.5,14.336,1.4702489076521403,0.020672253124312222,0.11793766728153932,0.0006588309723513165,0.058541003568672804,0.00123505144580169,2.2242005928184514,0.013755420857275295,3.267362126948962,0.047329242489681234,6.326341357875408,0.12693652986822404,0.5301138547924245,0.005987594128206893,0.09455215121802854,0.005968970565483129,0.8707824872017639,0.002436795018695642,0.13838570386923665,0.0023141728978169547,0.6093561064589545,0.00025334411526020217,0.5064375522118344,0.005616808612324216,122.6108024691358,10.40972170781219,20.55524691358025,1.4944844986723729,8.17746913580247,0.6920770791574903,28.734876543209875,2.18731372300239,0.7217128200579297,0.006520330796367415,0.2782871799420703,0.00652033079636742,2.16384659068751,0.15071867354524857,0.0018061668655405276,8.450457819439436e-05,0.000666444494152,0.0,18
0.7,22.9376,1.3704183943318933,0.005439853927284003,0.10764273184317123,0.0005750119116505455,0.04833661114728005,0.00047127502424659513,2.0846214771501295,0.0066933592528626564,2.955498752072928,0.01287453058350464,5.697041414309881,0.024896721477909473,0.48382288343358226,0.002069563899858818,0.09062035933265657,0.0008490765771907019,0.85135798898139,0.001358687116989607,0.135018424672442,0.00036389179379523124,0.5003979460129837,6.171377181452627e-05,0.39569739747695976,0.0009427669891487357,177.91777777777776,0.6321799113616465,21.092592592592595,0.11343685834367834,11.965555555555556,0.06743647259878525,33.01888888888889,0.08541801629251625,0.6373653224410272,0.002260243022446039,0.3626346775589727,0.0022602430224460397,2.289207872750127,0.03346262356990135,0.0011838835576347066,4.408191209547837e-06,0.000666444494152,0.0,15
0.85,27.8528,1.3480842648610376,0.004770670311607331,0.10193888346354162,0.0006489427597667198,0.043625533492476797,0.0003688477671611116,2.0209755000848273,0.006580078745381246,2.825345632501875,0.010412303167563041,5.4772056512983776,0.02206839775350162,0.46373854145054916,0.002032479254609487,0.08080850252296988,0.0008212244522583714,0.8418359837288801,0.0016462435055864658,0.13023710894466686,0.0002542276344685997,0.4312267316469167,6.173581917108657e-05,0.33777108666141703,0.0006892844667383576,201.6862962962963,0.6735667752096121,19.27296296296296,0.10006738862053965,13.440740740740742,0.07593366846572572,32.76740740740741,0.11043160830875688,0.588955827545289,0.0020652352292562974,0.41104417245471114,0.002065235229256295,2.185722560574473,0.05908246949704182,0.00095079291067098,3.1861489715676685e-06,0.000666444494152,0.0,15
1.0,28.672,1.3560333476339028,0.01820901849286966,0.09718315218701772,0.0014614493953125642,0.041506091459297796,0.0015678551191844058,1.9765361773979393,0.016716597419178948,2.7682946050864756,0.04661861163783999,5.448843651736976,0.12458252407043424,0.4539213409382017,0.007260604140088651,0.06459646003792639,0.003586997878077785,0.8344995733604907,0.0021318717984289584,0.12380356066230123,0.0012379134889319646,0.37095716657304073,0.0002563110676424042,0.29658271987382245,0.0032796837042096067,195.80277777777778,16.465195132167047,15.77438271604938,1.1575990376339764,12.958024691358025,1.1056676957667164,28.707098765432097,2.2717150040135072,0.560480281084655,0.010318720812290443,0.43951971891534497,0.010318720812290447,2.018424424751804,0.10614164805869278,0.0008437932399116445,2.984200736309824e-05,0.000666444494152,0.0,18
1.2,39.3216,1.3291433062676599,0.004377190260709368,0.09029421205873839,0.0003523654031940811,0.03593460648148144,0.00022085278046987626,1.9064533752585302,0.003243513526805405,2.603501583366912,0.006275320841194982,5.0694328798935695,0.015549952841020172,0.4281911275182048,0.00105535162505713,0.06344512807520095,0.00046545731084723344,0.8245514992120903,0.0021845932798915594,0.12257143389593068,0.00014913364525496323,0.30449364019626046,3.974743997877426e-05,0.2364604152757955,0.00037357060645924864,250.9662962962963,0.8526766423435056,16.086296296296297,0.11273530707414292,16.691851851851855,0.06758596039072105,32.78370370370371,0.10931950630222348,0.4908833891659269,0.002132962452045805,0.5091166108340731,0.002132962452045808,1.8770949473684555,0.054607694339296645,0.0006448095382376733,1.607680768166323e-06,0.000666444494152,0.0,15
1.5,43.008,1.3440819551334724,0.005667050105071342,0.08586222330729162,0.0008836998103898924,0.0339912131980613,0.0007296942458866396,1.8651181954381815,0.00884309625230527,2.5465583295058707,0.021645369532984477,4.97570519991998,0.04437071003920964,0.41612886297800195,0.0025653501503568265,0.0484093178651579,0.003170577439547819,0.820332953139456,0.002583303684066787,0.11720812321956993,0.0010809682690864943,0.22554746756171248,0.00022016034315111623,0.17806483739242496,0.002543595905683087,241.4141975308642,19.291221666923242,12.554012345679013,0.9423522048762298,16.08827160493827,1.3069776930326333,28.7179012345679,2.243590823042052,0.4431924683381271,0.004491003792261884,0.5568075316618729,0.004491003792261884,1.7980641683693515,0.14318768880441454,0.0005347281064763167,8.350270656809957e-06,0.000666444494152,0.0,18
2.0,65.536,1.3680376730817896,0.004706213883320171,0.07914195873119209,0.00029297725289636984,0.029922462745949018,0.0001597952130026268,1.799432202916896,0.0027387139422758466,2.431906853340176,0.004547514446307424,4.767506755700591,0.010869698100430456,0.397099212553214,0.0009009691108592067,0.0459980278858445,0.000527803796433,0.8183114541901642,0.002563585314777607,0.11614164954615656,8.78296124111361e-05,0.13752863727202486,3.7591143418900175e-05,0.10286504857882478,0.00016025885616758557,300.71407407407406,1.4118731919860514,12.618518518518519,0.06844340226880126,19.953703703703702,0.08541434554710423,32.58185185185185,0.11669748480170332,0.3871664510599205,0.0015624402828096457,0.6128335489400795,0.001562440282809646,1.7378752374086446,0.06549764302374733,0.00042254575710662666,4.355502218301967e-07,0.000666444494152,0.0,15
3.0,86.016,1.4122453637252077,0.008744565137790546,0.07639729064187882,0.0004194012125324159,0.029179269296151587,0.00025590525733019416,1.7668631191530098,0.004325279177297934,2.4041285904803305,0.0069191959661218895,4.79102580239371,0.02159556260744748,0.39107741044494015,0.0011933936171758942,0.03550224131176047,0.0026977749354993056,0.8204581039342169,0.001773733589217945,0.11265375505662073,0.0009298945780861925,0.05094655231745308,0.00011292404857536935,0.03671332343173961,0.0008570659604795979,280.56512345679016,21.441877185391895,9.987962962962962,0.7681261630672693,18.699074074074076,1.4455092333981354,28.71388888888889,2.200012298422232,0.34781511853703906,0.0029508345076513383,0.6521848814629609,0.002950834507651354,1.4848893669246304,0.12763255646281055,0.00036027048145415556,4.157052412648313e-07,0.000666444494152,0.0,18
