g,quantity,model,params,loglik,aic,ks,k,n,rank
0.0,global inter-crime,trunc_powerlaw,"trunc PL ($\alpha$=1.03,$\lambda$=13.5)",113630.26852740144,-227256.53705480287,0.24761203356213002,2,44808,1
0.0,global inter-crime,powerlaw,power-law ($\alpha$=1.93),109891.73842967353,-219781.47685934705,0.24761203356016062,1,44808,2
0.0,global inter-crime,lognormal,"lognormal ($\mu$=-3.53,$\sigma$=0.81)",104001.67304497593,-207999.34608995187,0.15635822494247736,2,44808,3
0.0,global inter-crime,weibull,Weibull ($k$=1.27),100679.28733852197,-201354.57467704394,0.14077152400753112,2,44808,4
0.0,global inter-crime,exponential,exp ($\lambda$=24.6),98622.83224902564,-197243.66449805128,0.21774388172959436,1,44808,5
1.0,global inter-crime,trunc_powerlaw,"trunc PL ($\alpha$=0.60,$\lambda$=11.6)",59048.75838850558,-118093.51677701116,0.16321505666308325,2,29648,1
1.0,global inter-crime,lognormal,"lognormal ($\mu$=-3.17,$\sigma$=0.90)",54989.45461877821,-109974.90923755642,0.10650901237881336,2,29648,2
1.0,global inter-crime,powerlaw,power-law ($\alpha$=1.70),53791.401650804226,-107580.80330160845,0.23734997968657295,1,29648,3
1.0,global inter-crime,weibull,Weibull ($k$=1.19),53715.66259721249,-107427.32519442498,0.10200214998658796,2,29648,4
1.0,global inter-crime,exponential,exp ($\lambda$=16.2),53012.92856279836,-106023.85712559673,0.14998181329040206,1,29648,5
3.0,global inter-crime,trunc_powerlaw,"trunc PL ($\alpha$=0.36,$\lambda$=8.81)",29476.693296421734,-58949.38659284347,0.10678423976656119,2,19619,1
3.0,global inter-crime,lognormal,"lognormal ($\mu$=-2.81,$\sigma$=0.98)",27569.842271550802,-55135.684543101605,0.07456551487663618,2,19619,2
3.0,global inter-crime,weibull,Weibull ($k$=1.13),27237.878220387334,-54471.75644077467,0.07294535404380786,2,19619,3
3.0,global inter-crime,exponential,exp ($\lambda$=10.8),26988.613736777304,-53975.22747355461,0.10199405520196891,1,19619,4
3.0,global inter-crime,powerlaw,power-law ($\alpha$=1.56),23937.995733904034,-47873.99146780807,0.2521555203992262,1,19619,5
0.0,per-cell inter-crime,trunc_powerlaw,"trunc PL ($\alpha$=0.83,$\lambda$=0.01)",-39872.70798962636,79749.41597925272,0.05696529414920121,2,12239,1
0.0,per-cell inter-crime,lognormal,"lognormal ($\mu$=0.98,$\sigma$=2.47)",-40481.67697493195,80967.3539498639,0.07076404937775249,2,12239,2
0.0,per-cell inter-crime,weibull,Weibull ($k$=0.45),-40739.71923745997,81483.43847491994,0.09379514631667912,2,12239,3
0.0,per-cell inter-crime,powerlaw,power-law ($\alpha$=1.18),-45340.97492892878,90683.94985785756,0.25311429638557537,1,12239,4
0.0,per-cell inter-crime,exponential,exp ($\lambda$=0.0459),-49959.97905800082,99921.95811600164,0.3819608574764175,1,12239,5
1.0,per-cell inter-crime,trunc_powerlaw,"trunc PL ($\alpha$=0.63,$\lambda$=0.01)",-963.1873063555488,1930.3746127110976,0.08181713588063483,2,219,1
1.0,per-cell inter-crime,weibull,Weibull ($k$=0.60),-971.3652431115856,1946.7304862231713,0.10073843310274566,2,219,2
1.0,per-cell inter-crime,lognormal,"lognormal ($\mu$=2.36,$\sigma$=1.94)",-973.0406534665198,1950.0813069330395,0.10417212682747012,2,219,3
1.0,per-cell inter-crime,exponential,exp ($\lambda$=0.025),-1026.767328851949,2055.534657703898,0.28376084340892327,1,219,4
1.0,per-cell inter-crime,powerlaw,power-law ($\alpha$=1.19),-1103.589118418312,2209.178236836624,0.31694943539800485,1,219,5
