timestamp,code_hash,L,seed,g,chi,delta,M_tot,eta_M,omega_M,T_max,snap,event_log,status,wall_s
2026-06-15T17:54:07,fb4ecf2f5c,128,0,0.0,0.0,0.0666666667,500.0,0.1,0.0666666667,365,True,True,done,17.768
2026-06-15T17:54:25,fb4ecf2f5c,128,1,0.0,0.0,0.0666666667,500.0,0.1,0.0666666667,365,True,True,done,18.216
2026-06-15T17:54:43,fb4ecf2f5c,128,2,0.0,0.0,0.0666666667,500.0,0.1,0.0666666667,365,True,True,done,18.117
2026-06-15T17:55:04,fb4ecf2f5c,128,3,0.0,0.0,0.0666666667,500.0,0.1,0.0666666667,365,True,True,done,21.063
2026-06-15T17:55:23,fb4ecf2f5c,128,4,0.0,0.0,0.0666666667,500.0,0.1,0.0666666667,365,True,True,done,18.921
2026-06-15T17:55:48,fb4ecf2f5c,128,0,1.0,32.768,0.0666666667,500.0,0.1,0.0666666667,365,True,True,done,24.99
2026-06-15T17:56:12,fb4ecf2f5c,128,1,1.0,32.768,0.0666666667,500.0,0.1,0.0666666667,365,True,True,done,23.755
2026-06-15T17:56:36,fb4ecf2f5c,128,2,1.0,32.768,0.0666666667,500.0,0.1,0.0666666667,365,True,True,done,23.834
2026-06-15T17:56:59,fb4ecf2f5c,128,3,1.0,32.768,0.0666666667,500.0,0.1,0.0666666667,365,True,True,done,23.101
2026-06-15T17:57:19,fb4ecf2f5c,128,4,1.0,32.768,0.0666666667,500.0,0.1,0.0666666667,365,True,True,done,20.192
2026-06-15T17:57:40,fb4ecf2f5c,128,0,3.0,98.304,0.0666666667,500.0,0.1,0.0666666667,365,True,True,done,21.012
2026-06-15T17:58:00,fb4ecf2f5c,128,1,3.0,98.304,0.0666666667,500.0,0.1,0.0666666667,365,True,True,done,19.475
2026-06-15T17:58:22,fb4ecf2f5c,128,2,3.0,98.304,0.0666666667,500.0,0.1,0.0666666667,365,True,True,done,22.423
2026-06-15T17:58:45,fb4ecf2f5c,128,3,3.0,98.304,0.0666666667,500.0,0.1,0.0666666667,365,True,True,done,22.427
2026-06-15T17:59:06,fb4ecf2f5c,128,4,3.0,98.304,0.0666666667,500.0,0.1,0.0666666667,365,True,True,done,21.006
